filename,width,height,class,xmin,ymin,xmax,ymax,split,augmented
PLACA_000992.jpg,3024,4032,license_plate,1341,2338,1807,2581,train,False
PLACA_000686_aug_02_0685.jpg,500,375,license_plate,156,130,358,230,train,True
PLACA_001041.jpg,3840,2160,license_plate,786,880,1114,1067,train,False
PLACA_000489_aug_01_0488.jpg,4000,3000,license_plate,2053,1215,2795,1571,train,True
PLACA_000111_aug_01_0110.jpg,3840,2160,license_plate,0,1038,39,1294,train,True
PLACA_000406_aug_00_0405.jpg,416,416,license_plate,197,122,300,193,train,True
PLACA_000990_aug_01_0989.jpg,500,375,license_plate,196,133,338,231,train,True
PLACA_001084_aug_02_1083.jpg,4000,3000,license_plate,2121,1443,2534,1634,train,True
PLACA_000358_aug_00_0357.jpg,416,416,license_plate,127,198,190,242,train,True
PLACA_000357.jpg,500,375,license_plate,33,45,439,231,train,False
PLACA_000082.jpg,3024,4032,license_plate,1521,2257,1876,2427,train,False
PLACA_000823.jpg,500,375,license_plate,179,164,325,237,train,False
PLACA_001019_aug_00_1018.jpg,3840,2160,license_plate,922,838,1283,1039,train,True
PLACA_000326_aug_01_0325.jpg,3840,2160,license_plate,2307,1299,2688,1569,train,True
PLACA_000511_aug_01_0510.jpg,4000,3000,license_plate,2242,854,2674,1145,train,True
PLACA_000688.jpg,500,375,license_plate,202,161,323,219,train,False
PLACA_000252_aug_01_0251.jpg,500,375,license_plate,186,133,413,253,train,True
PLACA_000693_aug_02_0692.jpg,500,375,license_plate,69,139,303,304,train,True
PLACA_001100.jpg,4000,3000,license_plate,2031,1754,3091,2229,train,False
PLACA_000794_aug_00_0793.jpg,4000,3000,license_plate,1258,973,1970,1398,train,True
PLACA_000853.jpg,3840,2160,license_plate,1979,767,2132,869,train,False
PLACA_000002_aug_01_0001.jpg,2592,1944,license_plate,391,591,1743,1369,train,True
PLACA_000234.jpg,1540,1150,license_plate,738,617,1142,836,train,False
PLACA_000110_aug_02_0109.jpg,2816,2112,license_plate,503,673,1794,1316,train,True
PLACA_000437_aug_02_0436.jpg,2592,1944,license_plate,729,628,1812,1092,train,True
PLACA_000398_aug_01_0397.jpg,500,375,license_plate,0,86,400,279,train,True
PLACA_001026_aug_00_1025.jpg,2592,1944,license_plate,282,475,1359,1100,train,True
PLACA_000349.jpg,416,416,license_plate,147,197,291,297,train,False
PLACA_000809.jpg,500,375,license_plate,114,111,408,250,train,False
PLACA_000454_aug_00_0453.jpg,416,416,license_plate,156,158,226,202,train,True
PLACA_000331_aug_00_0330.jpg,500,375,license_plate,68,121,438,351,train,True
PLACA_000601_aug_00_0600.jpg,416,416,license_plate,228,255,308,305,train,True
PLACA_000857_aug_00_0856.jpg,2592,1944,license_plate,0,368,2232,1848,train,True
PLACA_000049_aug_01_0048.jpg,4000,3000,license_plate,2026,1492,3106,2030,train,True
PLACA_000667_aug_00_0666.jpg,2816,2112,license_plate,874,853,2167,1405,train,True
PLACA_000533_aug_01_0532.jpg,3264,2448,license_plate,3,170,2955,1917,train,True
PLACA_000715.jpg,2816,2112,license_plate,590,511,2318,1516,train,False
PLACA_000866.jpg,500,375,license_plate,50,58,440,251,train,False
PLACA_000924_aug_02_0923.jpg,3024,4032,license_plate,1826,1905,2174,2124,train,True
PLACA_000283_aug_01_0282.jpg,500,375,license_plate,76,54,380,252,train,True
PLACA_000899_aug_01_0898.jpg,1024,768,license_plate,86,91,1024,535,train,True
PLACA_000628_aug_01_0627.jpg,2816,2112,license_plate,960,800,2035,1303,train,True
PLACA_000056_aug_01_0055.jpg,4000,3000,license_plate,1156,1398,2355,2125,train,True
PLACA_000308.jpg,2592,1944,license_plate,345,523,2091,1390,train,False
PLACA_000144_aug_00_0143.jpg,3264,2448,license_plate,973,341,2890,1514,train,True
PLACA_001065_aug_00_1064.jpg,4000,3000,license_plate,1639,1069,2761,1658,train,True
PLACA_001063.jpg,4000,3000,license_plate,1706,1138,2431,1494,train,False
PLACA_000105_aug_01_0104.jpg,4000,3000,license_plate,928,1613,1783,2049,train,True
PLACA_000688_aug_01_0687.jpg,500,375,license_plate,195,192,317,250,train,True
PLACA_000277.jpg,416,416,license_plate,145,286,220,337,train,False
PLACA_000065_aug_00_0064.jpg,4000,3000,license_plate,1952,906,3187,1612,train,True
