filename,width,height,class,xmin,ymin,xmax,ymax
IMG_4414_jpg.rf.8f3f6b9fa4897ab511464a92cf7e4503.jpg,640,640,placa,285,486,424,530
5671127139_7b7c0ab9cd_o_jpg.rf.30543ff77330b804c6239d98f3835125.jpg,640,640,placa,91,161,525,464
5385195403_jpg.rf.49ff06318e5a945de4709d4e0b1d98a7.jpg,640,640,placa,158,302,449,482
5379189215_jpg.rf.c3160481aed892a7156829b84cf798c4.jpg,640,640,placa,110,57,566,367
IMG_20210811_054858_jpg.rf.245a7512691f24b3076898b4409d47e0.jpg,640,640,placa,461,288,558,358
IMG_20210811_061327_jpg.rf.5aca5f43a8fdf4a38a782c2f4f6543be.jpg,640,640,placa,294,417,411,481
97_jpg.rf.53edeed9e80eef4878ce044fcda6b677.jpg,640,640,placa,324,262,462,352
IMG_20210811_060416_jpg.rf.a6ddb39bfe42485b88c0d1d8e5cb1ab4.jpg,640,640,placa,277,288,381,344
5379189831_jpg.rf.6d5457a99fb60006abf67b5d3ddf5f01.jpg,640,640,placa,148,156,573,422
96_jpg.rf.ea825141123858ea7962ed48872dad82.jpg,640,640,placa,245,219,422,342
2471582075_b07c0b4a45_o_jpg.rf.29a11cc83c787cd984d2ff7faac48531.jpg,640,640,placa,88,172,577,482
17_jpg.rf.2179bf18cbb1c133a63ce192b3a85c55.jpg,640,640,placa,295,320,385,380
5470497956_aa84f41cb9_o_jpg.rf.df39991659bbbc0188ce5e1476aec968.jpg,640,640,placa,93,171,507,490
2025-11-05_11-40-42_911992_jpg.rf.25801e9f56ffd50d9e8e78636c492eb0.jpg,640,640,placa,548,342,581,374
2025-11-05_11-40-42_911992_jpg.rf.25801e9f56ffd50d9e8e78636c492eb0.jpg,640,640,placa,412,339,429,356
2025-10-22_10-20-05_276072_jpg.rf.bb5899d67bfd92ab561ee19d6ae147ba.jpg,640,640,placa,411,213,449,273
2025-10-22_10-20-05_276072_jpg.rf.bb5899d67bfd92ab561ee19d6ae147ba.jpg,640,640,placa,371,159,394,193
2471542175_fb2ec90f8c_jpg.rf.80a5fb883acc9d245daea3200985db02.jpg,640,640,placa,57,177,443,450
5671125487_f72d61c721_o_jpg.rf.77953dbd8f9185547aa7962c05c8d8ae.jpg,640,640,placa,105,104,515,425
2472345960_3f5abd750a_jpg.rf.a9ca4a8f9d629b306074af3759001008.jpg,640,640,placa,177,101,566,431
2025-10-22_10-14-10_115824_jpg.rf.2c6b058843a6035313beea3e0afa5d33.jpg,640,640,placa,444,280,481,322
2025-10-22_10-14-10_115824_jpg.rf.2c6b058843a6035313beea3e0afa5d33.jpg,640,640,placa,219,230,245,266
2025-10-22_10-14-10_115824_jpg.rf.2c6b058843a6035313beea3e0afa5d33.jpg,640,640,placa,142,217,159,240
2477737728_b985305b16_o_jpg.rf.864686183100dbcf74ecc07907b8d92d.jpg,640,640,placa,56,136,495,432
106_jpg.rf.afd7c2795d3a901a875a47d6a0c7948c.jpg,640,640,placa,249,226,352,297
2657144351_e58831c50b_jpg.rf.55a1e4222744f070435de718bd008a00.jpg,640,640,placa,122,217,486,468
2559559670_jpg.rf.c0e2cedb4d04708a84e8625c32da3dfc.jpg,640,640,placa,113,166,549,444
112_jpg.rf.3ec67c60f664d676d9e02e096e49d537.jpg,640,640,placa,239,282,332,350
2559573828_jpg.rf.d7b408d67fe666515007996397c414bd.jpg,640,640,placa,252,282,382,377
2471602179_5360b4c697_o_jpg.rf.a1c592976a1b51b7b6140f7416e6656c.jpg,640,640,placa,40,125,465,424
2559557046_jpg.rf.c84e0753938d6167a32cf085da8ba73d.jpg,640,640,placa,88,185,472,441
92_jpg.rf.adedf14c04fd907aee8e9ad7ac4263a6.jpg,640,640,placa,211,294,325,373
2559576576_jpg.rf.10ce0f56f50a4b01d329236dbdcb00d5.jpg,640,640,placa,176,201,448,371
2025-10-24_11-56-40_952126_jpg.rf.99df712ad518485f7f42bf26af9ce9cd.jpg,640,640,placa,176,213,233,268
2025-10-24_11-56-40_952126_jpg.rf.99df712ad518485f7f42bf26af9ce9cd.jpg,640,640,placa,337,236,367,267
2025-10-24_11-56-40_952126_jpg.rf.99df712ad518485f7f42bf26af9ce9cd.jpg,640,640,placa,498,267,511,283
2025-10-24_11-56-40_952126_jpg.rf.99df712ad518485f7f42bf26af9ce9cd.jpg,640,640,placa,416,241,432,261
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,593,80,599,90
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,612,91,621,103
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,365,71,382,87
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,270,81,296,103
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,403,60,408,70
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,572,70,579,77
2025-11-05_11-41-54_146302_jpg.rf.38e9838ed894aab56b94732036c5fa43.jpg,640,640,placa,530,77,544,90
2559568456_jpg.rf.5eb2361e32208e33b69b2b11e7d3100f.jpg,640,640,placa,154,139,504,379
